ID,L3,Finding Category,Priority,Description, Recommendation,Type of correction action,Categories of corrective action strength
23938,CIRA International,Housekeeping,Medium,Poor housekeeping on Green Zone area,Provide a proper keeping for shoes and sandals instead of let all of them scattered on ground,1,1
23938,CIRA International,Environmental polution,High,"Improper storage of chemical substance (paint, thinner, etc.)",A proper storage with secondary containment should be provided for all kinds of hazardous materials,1,1
23995,PT Usaha Jayamas Bhakti,Security,High,the entrance to the redzone area has not been added with an additional lock,add aditional key,1,2
23996,PT Usaha Jayamas Bhakti,Housekeeping,Medium,trash cans that are not neat,Tidy up the trash,1,1
24002,CIRA International,"Inspection, signage, tag",Medium,wrong placement for green zone signage,please removed and removed,1,1
24002,CIRA International,PPE incomplete / inadequate,High,eyewash not properly installed,please installed in proper area,1,1
24002,CIRA International,Housekeeping,High,good cable management for workers to walk through,good practice of cable management,,
24002,CIRA International,"Inspection, signage, tag",High,irrelevant signage on the current activity,please remove,1,1
24012,CIRA International,Housekeeping,Low,Inadequate housekeeping and no proper label and warning sign.,PH to ensure maintaining housekeeping at site. Label and warning sign also to be display at chemical storage box ,1,1
24012,CIRA International,Procedures not followed / inadequate,Low,No tag inspection on Full Body Harness,Tag should be placed once inspection been done. There should be more preparation and plan to ensure inspection program can be implement accordingly. ,3,1
24014,CIRA International,Security,Low,THERE IS NO VISITOR BOOK AT SITE,MUST HAVE AND AVAILABLE AT SITE,2,3
24091,PT Laju Niaga Gemilang,Competence,High,"Minim understanding about SWC, SWG",Please refresh training regarding of SWG & SWC,3,3
24091,PT Laju Niaga Gemilang,Legal compliance,High,Lack of HSSE Policy document,Please provide hard copy of it,2,4
24091,PT Laju Niaga Gemilang,Communication,High,Lack of plant & equipment register at site,Please provide the hard copy,2,3
24091,PT Laju Niaga Gemilang,Competence,High,Minim understanding on ERP,Please refresh training regarding ERP,3,3
24116,PT. Mitra Purnama Engineering,"Inspection, signage, tag",High,The checklist used by MPE does not represent the actual condition of the excavator.,Please follow mht checklist with actual condition. Do Not mobilization before getting approval from Meinhardt. ,3,3
24236,CIRA International,Dust,High,found that eyewasher is clogged and not sufficiently drain water to wash ,please fix the hose so the water can smoothly drain to wash,1,1
24241,CIRA International,Slips and trips,Medium,The base plate of temporary cable pole has a potential accident Path Way,Cover the excess temporary cable pole to prevent the slip and trip ,1,1
24243,PT Surya Utama Nuansa,Competence,Medium,,Need refresher training about LSR & JHA requirenment,3,3
24276,CIRA International,Competence,Medium,Accreditation high risk checklist noted to be good conducted with inconsistent result with minimum score set,"Suggest to conduct audit program focus on high risk training and see following item to be improve : training delivery method, accreditation test - to put more context the workers, adding picture with real case based example, and review minimum scoring set also. ",4,3
24276,CIRA International,Communication,Low,Checklist not in readable condition,Give laminating to the checklist so it can withstand as purpose on placement of it at outdoor area. ,3,3
24276,CIRA International,"Rules, regulations not followed",Low,Incomplete first aid kit at the box as per checklist,To complete the content of first aid as per checklist ,1,1
24276,CIRA International,PPE incomplete / inadequate,Medium,No spare PPE for dust respiratory protection (mask),To provide and monitor the availability of dust mask and ensure it being used by workers for any activity that has potential hazard of dust. ,1,1
24276,CIRA International,PPE incomplete / inadequate,Medium,Inadequate maintenance of faceshield to ensure right proper replacement. Inadequate care of earplug that lead to use of it improperly and bring hygienic issue,Conduct refreshment to the worker on the care of PPE with specific criteria on the need to seek replacement of it. ,3,3
24291,PT Anugerah Petro Indonesia,Communication,Medium,insufficient information during Tool Box Talk (TBT) session prior starting the job,"During TBT, The Supervisor and/or Permit Holder (PH) must explain in detail on JHA, LSR relevant to the scope of work, ERP, and ensure all safety device have already available at site to manage the risk.",3,3
24292,CIRA International,Communication,Medium,Need to update the PIC of FSY - MHT ID,Update and replace the name of Alwinsyag to be Rokhmatu Siva in Project Contact List.,3,3
24292,CIRA International,"Permit (inadequate, not present)",Medium,Uncomplete information of WCF unique number as supporting document.,Need to put in daily basis on WCF unique number in PTW form.,3,3
24294,PT Anugerah Petro Indonesia,Communication,Low,Incomplete information on the site name and date in the document checklist,Double check the completeness of the information in the document,3,3
24296,PT Anugerah Petro Indonesia,Housekeeping,Low,Untidy equipment storage,Improve awareness of housekeeping ,3,3
24311,PT. Mitra Purnama Engineering,"Inspection, signage, tag",Low,First Aid kit is available but not checked by Monthly Checklist,PT MPE must conduct monthly inspection to ensure all first aid kit is good condition Adding Information First aider in charge today,3,3
24311,PT. Mitra Purnama Engineering,"Inspection, signage, tag",High,APAR is Low Pressure,Please replace with a new APAR,1,1
24311,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Medium,Not Have drinking facilities in the field for worker,Please adding drinking water facilities (dispenser) for worker as per requirment in worker welfare,1,1
24311,PT. Mitra Purnama Engineering,Communication,Medium,"Less information in HSSE Board such as LFI (buletins), Permit box, Checklist Box, Heart and Mind Corner.","Please adding seeral my concern, you can see Site set up standart at page 8. ",3,4
24311,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",High,SWC and Daily Checklist Heavy Equipment not implemented,HSSE manager mustg conduct refresher training regarding SWC and checklist. SWC and checklist to ensure all activities and equipment has been verified.,3,3
24324,PT. Mitra Purnama Engineering,Slips and trips,Medium,Electrical cable lie on the ground at access to red zone could make worker get trip,remove the electrical cable to avoid worker get trip,1,1
24324,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,Mini Compactor without barricade at the access road ,Put barricade surrounding mini compactor or remove the mini compactor from road access to avoid get hit by excavator and compactor,1,1
24324,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,different level of ground between road area and foundation area could lead equipment or worker get fall in,put barricade along the area with different level of ground to avoid worker get fall,1,1
24327,PT. Mitra Purnama Engineering,Slips and trips,Medium,No safe way for workers to descend,"A dedicated and safe way to wall area should be made instead of just descend without any protection. When it done, any other unsafe way to the area must be barricaded",1,1
24327,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,Observed no barricade on surfaces that have different level (potential fall),It is clear that this site has not enough hard barricade. It should be planned and made from now since site shall need plenty of hard barricade for protection,1,1
24327,PT. Mitra Purnama Engineering,Communication,Medium,Unmatched signage for fuel diesel which should have fire hazard instead,Flammable signage should be in place instead of toxic material,1,1
24327,PT. Mitra Purnama Engineering,Communication,Medium,No MSDS can be seen on hazardous storages,MSDS should be in place where material be put (and translated so workers who read can understand),2,3
24327,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Low,Both PH and verifier still confused in signing the SWC,Already explained on site and hope both PH and verifier understand which column to sign on SWC,3,3
24327,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Medium,JHA not signed everyday whilst the work still on going,Signing JHA is proof that it has been communicated to and understood by workers. It should be done everyday when the activity still in going,2,3
24327,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Medium,Mismatched filling in JHA where 'High Risk' column being filled while it's for the 'Medium' one,Already explained on site and hope PH understand more about each column to fill in JHA,2,3
24331,PT Anugerah Petro Indonesia,"Barricading (inadequate, inappropriate)",Low,There is improper equipment storage barricading,Install the barricade properly,1,1
24341,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,"Work permit (PTW, WCF, JHA) not available on information board",please attach all the permit document is available on information board all day,2,3
24341,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,"Work permit (PTW, WCF, JHA) not available on information board",please attach all the permit document is available on information board all day,2,3
24341,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,no barricading on the edge of landfill boundari for different height,please install proper barricading on this edging,1,1
24341,PT. Mitra Purnama Engineering,"Inspection, signage, tag",High,No Tagging on portable Mixer machine,please tag this equipment,1,1
24351,PT. Mitra Purnama Engineering,Fire / explosion,High,Not validate the FE,To be checked and validated the FE,3,3
24351,PT. Mitra Purnama Engineering,Fire / explosion,High,There is no gauge,To be replace the FE with complete the gauge,1,1
24351,PT. Mitra Purnama Engineering,Housekeeping,Medium,Don't put all material at storage,Please make tidy the storage,1,1
24351,PT. Mitra Purnama Engineering,Housekeeping,Medium,Don't put tools inside your office,Please make clear your office from the tools,1,1
24368,PT. Mitra Purnama Engineering,Security,High,there is a door for residents to enter the project area,'Communicate with related residents and carry out a permanent closure,2,1
24376,PT Diverse Product Engineering,"Permit (inadequate, not present)",Medium,Inadequate PTW system document due to incomplete mandatory field and no specific detail of activity write up ,DPE to improve PTW system by conduct PTW Audit. This should be done by DPE HSSE Manager,3,3
24376,PT Diverse Product Engineering,Competence,Medium,Lack of hazasrd identification and control,Hazard identification skill of PH shall be improved. Training shall be conducted by DPE HSSE Manager with proper competence assurance process ,3,3
24376,PT Diverse Product Engineering,Procedures not followed / inadequate,Medium,No SWC been done as part of verification and discussion prior start the work,PH to lead the activity and ensuring compliance on it ,3,3
24376,PT Diverse Product Engineering,Procedures not followed / inadequate,Medium,No available plant and equipment register on site with no process also from PCC to check on it,Equipment register to be made available during performing any activity on site. This shall be part of document communicated to PCC,3,3
24376,PT Diverse Product Engineering,Procedures not followed / inadequate,Medium,Modification of LOTOTO register without any endorsement from MHT as originator,LOTOTO Register to be complete as per MHT Template and Guidance ,3,3
24376,PT Diverse Product Engineering,"Barricading (inadequate, inappropriate)",Medium,No barricade in place to protect working area during water test ,Barricade and signage to be mobilized and erect on site ,1,1
24376,PT Diverse Product Engineering,"Rules, regulations not followed",Medium,No visibility of HSSE Manager and Senior Manager to oversee activity on site and performing Audit,have a plan for HSSE Manager and Senior Manager to conduct Audit ,3,3
24376,PT Diverse Product Engineering,Procedures not followed / inadequate,Medium,Inadequate quality assurance process,Improve method statement to incorporate quality expectation criteria ,2,3
24376,PT Diverse Product Engineering,PPE incomplete / inadequate,Low,Respiratory protection provided seen inadequate,Only use approved respirator following standard ,1,1
24376,PT Diverse Product Engineering,Dust,Medium,Missing measure to protect asset being exposed by environment condition ,Provide tarpaulin or tent ,1,1
24398,PT. Mitra Purnama Engineering,Security,Medium,There is no wall clock in the security post entry access area,'The security post must be equipped with a wall clock so that it can monitor someone entering and leaving the project. besides that it will help see what time it is if something loses or happens in the project,1,4
24398,PT. Mitra Purnama Engineering,Competence,Medium,The First aid box adds burn medicine/burn ointment,"'because in the future there will be welding work, installation of a fence around, add to the first aid box, medicine for burns / ointment for burns",1,1
24398,PT. Mitra Purnama Engineering,"Excavation, ingress, egress",High,no information sign do not lean on the barricade of excavations,'make a sign on the barricade near the excavation so that workers do not lean and rest on the barricade,1,1
24445,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,Low,PPE specification not meet as per expected standard,Remove the PPE that had not meet expected specification from site and site team to conduct regular observation on the PPE available and use at site. ,1,1
24495,PT. Mitra Purnama Engineering,Work at Heights,High,One worker using A- Step ladder (type A) for W@H activity ( installation Frame,"The above finding was commnicated to PT Mitra Purnama Engineering for
their further attention and reactification - STOP work and stand-down",1,1
24503,PT. Mitra Purnama Engineering,Security,High,Site security allowed workers to enter without induction and did not intervene regarding PPE use.,MPE should develop security plan as per assurance and action process plan. And note that the security must aware regarding prevent unathorized person accsees into the site,3,3
24503,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,No supervision from the core team during lifting activity and no intervention by Internal MPE ( Coreteam & Permit Holder).,"All activities should be monitored by coreteam, and furthermore, Night Work is not allowed at all",3,3
24503,PT. Mitra Purnama Engineering,"Inspection, signage, tag",High,HSPD mobilisation is still in the document review stage such as SIO/SILO. However MPE is still mobilising HSPD without permission,No equipment should be deployed on site if not approved by MHT yet. HSPD equipment cannot be operate if there is no approval yet,3,3
24503,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",High,lifting activity is carried out without the creation of PTW System (open WCF/PTW and Submit Night Work Plan),"Not to mention no Night Work Plan, basic PTW system requirement must be in place prior activity. This shall be discussed further",3,3
24503,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,High,The workers not using PPE during lifting activities,This shall be discussed further since it's basic requirement that MPE team should know about,3,3
24503,PT. Mitra Purnama Engineering,Lifting and slinging,High,"Not proper plan to conduct lifting activities, where lifting activities carried out at night are very high risk.",This shall be discussed further since it's basic requirement that MPE team should know about,3,3
24658,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,During working day we found the current PH leaving the site w/o proper procedure,"1. Stop Work action
2. Give proper warning to related PH (Sole Siagian)
3. Ask to PCC more trainig to the whole team regarding this PH in charge ",3,1
24750,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",High,"WCF filled up with inadequate information on work description where no specific location stated.  In addition, no statement of high risk activities stated hence why the high risk box were questioned.",Coaching in site by HSSE manager on how to complete it correctly - immediate rectification done on site.,3,3
24750,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",High,"PTW system document completed on site, however, the HSSE officer has conducted brief of document instead of PH & PI for high risk activities",Discussion happen on site to SM and HSSE officer where improvement required to PH & PI to conduct TBT explaining all the related document of PTW system and fully aware of works to be done.,3,3
24750,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,inadequate barricade surrounding counterweight block for HSPD.,Immediate rectification required post discussion on site.,1,1
24750,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Medium,Non BBS intervention recorded at site due to poor understanding to start the exercise.,"This should be done post our monthly meeting and due to poor in communication between HSSE team, MHT will re-conduct the BBS training to MPE team to launch the program at site as per requirement.",3,3
24750,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Low,"SWC implemented well, however no involvement of Permit Issuer as verifier.",MHT HSSE Manager advise to get PI involvement in SWC as the process included in high-risk activities management and PI is held responsible in managing high risk activities till permit is closed.,3,3
24757,CIRA International,Procedures not followed / inadequate,Medium,No Visitor Registration Book,provide a guest registration book at the site.,3,4
24757,CIRA International,Procedures not followed / inadequate,Medium,Empty HSSE Stastitic board,"Please update/fill HSSE Statistic Board to record alll necessary data such Expose hour, type of activities etc",3,4
24779,PT. Mitra Purnama Engineering,"Inspection, signage, tag",Low,"The inspection tag is no longer visible, ","Please remove the inspection tag, and replace with a new Tag. ",1,1
24779,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Medium,Temporary hazardous is not equipped with a cover and there is no signage that separates solid and liquid hazardous waste.,Please swift your action to make a cover for temporary hazardous and put the signage for separatesolid and liquid hazardous waste.,1,1
24800,PT. Mitra Purnama Engineering,Competence,High,PH do not possess ECPM safety passport,Short term action is to immediately replace with valid PH who also have valid safety passport. Intended PH shall complete safety passport course then allowed to issued WCF again. ,2,3
24800,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",High,Absence of SR in WCF during work activity ,"As discussed on site, MPE to establish mandatory presence of SR at least during beginning of shift. This practice shall fully adhered as deviation of it will bring to the consequences ",2,3
24800,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Medium,Missing PI signature in JHA this can be a false identification of PI not properly check and review JHA ,Short term action must be taken by ensure attendance of PI immediately and ask him to review then put signature on it. Robust checking should in place involving check by site HSSE Officer to remind PI and PH during Permit process. Refreshment training also should be given with proper record of assessment to check understanding of PH on the importance of having PI signature on JHA,4,3
24800,PT. Mitra Purnama Engineering,Housekeeping,Medium,No provision of safe walkways,Inclusion of safe access provision as part of daily process during beginning of work. At least 1 m distance clearance to be available and identified clearly with barricade,1,1
24800,PT. Mitra Purnama Engineering,Non-mechanical impact,Low,Lack of bracing of scaffold frame being use for rebar bench ,Complete scaffold frame with full of bracing.,1,1
24800,PT. Mitra Purnama Engineering,Falling objects,Low,Unsafe support of overhead cable and no provision of signage and overhead goal post also,Rectify support of overhead cable with suitable material and provide goal post and signage ,1,1
24800,PT. Mitra Purnama Engineering,Competence,Medium,Absence of proper planning on process of L4 induction. ,Improve L4 induction process by having prompt communication with SM and respective foreman on the plan of mobilization. MPE also shall have centralized register of safety passport as most of workers is have previous experience in Shell project which means that availability of photo in database,3,3
24800,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Low,MPE to improve ability on anticipating future risk of upcoming high risk activity.,Preparation should be made to ensure  proper plan and preparation to have railing protection of HSPD and grounding for Genset HSPD ,2,3
24800,PT. Mitra Purnama Engineering,Electrical,Low,No clearance space in front of electrical panel. Panel also not in locked position,Provide visible signage with proper mark indication. Conduct daily check to ensure electrical panel always in locked position ,1,1
24800,PT. Mitra Purnama Engineering,Protruding objects,Low,No rebar protection in place at site,MPE to proactively seek best option on protecting rebar at site. Can refer to attached picture on one of option for having metal or wood enclosure. ,1,1
24800,PT. Mitra Purnama Engineering,Rotating equipment,Low,Inadequate protection of crown mini concrete mixer ,Provide additional protection to be fully close with clear distinction of color ,1,1
24836,PT. Mitra Purnama Engineering,Competence,High,"Site observed to have massive activities for concreting tie beam Several worker in concreating in line of fire (workers place himself in the line of fire area) line of fire ( several workers place himself in the line of fire area and will be potential hit by swing bucket) Excavator came to supply sand, there is no intervention","1. awarness safety culture related Life
saving rules and control hazard with every Moving vehicle must have flagman
/banksman as a additional control and managing all moving equipment (excavator)
2. Please Using Hazard Control Sheet No. 18 Movement / Lifting of heavy equipment
and Safe work Guidance ""Movement of Heavy equipment"" as per your technical guidance
3. Please check and verify the excavator has honk system. Honk system can be
alerting devices to giving warning for surrounding area when equipment moving",1,1
24836,PT. Mitra Purnama Engineering,Communication,High,Misiing communication regarding line of fire hazard,PH and HSSE must socialization every TBT to inform LSR related work activities,3,3
24850,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,"when I was visiting on site and when entering main entrance to Security post, there was No designation Log Book for Visitor Attendance Book, and still mix up with worker",please provide proper Visitor Log Book separate from workers,3,4
24852,CIRA International,"Barricading (inadequate, inappropriate)",High,"access door between Green Zone to Red ZOne with No lock, so the door keep opening",please provide a lock so the door doesnt keep opening,1,1
24890,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,Dont use ladder for supporting barricade,To be made good the supporting barricade,1,1
24890,PT. Mitra Purnama Engineering,"Obstruction (materials, machinery)",Medium,No protection safety,To be prepare safety protection,1,1
24890,PT. Mitra Purnama Engineering,Housekeeping,Medium,Mix material with safety shoes and other,To be make tidy,1,1
24890,PT. Mitra Purnama Engineering,Housekeeping,Medium,mix can with drum,To be make tidy,1,1
24905,PT. Mitra Purnama Engineering,Slips and trips,Medium,Water Hose lying on the ground could lead someone get trip.,move water hose to storage room if not in used to avoid someone get trip.,1,1
24905,PT. Mitra Purnama Engineering,Housekeeping,Medium,the ladder is where it shouldn't be,ove the ladder to a safe place and do not lean it against the barricade.,1,1
24915,PT. Mitra Purnama Engineering,Lifting and slinging,High,"Wire Sling has been damaged which kinking, broken wires, and some bird-caging",Remove the wire sling. HSSE MPE must routine inspection before starting lifting activities,3,1
24915,PT. Mitra Purnama Engineering,Lifting and slinging,High,Wire Sling has been damaged which bird- caging and Kinking hook without Safety latch,"Remove the lifting gear, and using shacle with screw pin for mobilization pilling ",1,1
24915,PT. Mitra Purnama Engineering,Lifting and slinging,Medium,found damaged hydraulic hoses that have the potential of leaking ,MHT suggest to MPE to checking this hose and inform to maintenance to prevent leaking potential ,3,3
24915,PT. Mitra Purnama Engineering,Communication,High,Hook has been Changed from Vendor without communication with MPE,"MPE must check all maintenance records and approve after maintenance. All equipment replacement in the MPE area, must be approved by MPE. please ask for a report regarding the replacement and maintenance of HSPD from the vendor.",3,3
24915,PT. Mitra Purnama Engineering,Housekeeping,Low,worker bags are in the Temporary hazardous storage area,MPE should create a locker storage area ,1,1
24915,PT. Mitra Purnama Engineering,Environmental polution,High,Contaminated soil with HSPD hydraulic oil,Please remove the contaminated soil with a new soil. Contaminated soil is Hazardous waste. Please put the Temporary hazardous storage,1,1
24917,PT. Mitra Purnama Engineering,Dust,High,"eyewash is cracked, cannot fill water in it and cannot be used",Please change the broken eye wash so it can be use properly ,1,1
24936,PT. Mitra Purnama Engineering,Competence,Medium,For work in the building there is no access by workers to the building area,Create ladder access,1,1
24936,PT. Mitra Purnama Engineering,Housekeeping,High,Irregular cleaning by workers. a lot of used wire in the work area,"After finishing work, all workers must do housekeeping. discuss in TBM every day the importance of housekeeping after leaving work",3,3
24936,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,"the presence of open hole gaps, may cause the work to fall into the open hole",Make a barricade or immediately cover it with soil when it's finished,1,1
24991,PT Usaha Engineering Services,"Inspection, signage, tag",High,There is no tagging to the 2 (two) Full Body Harness (FBH).,Provide tagging for 2 (two) FBH and ensure will be inspect in weekly basis and visual daily check by supervisor.,2,1
24991,PT Usaha Engineering Services,Positive / Proactive practice and behaviours,High,Conduct Blue Zone session prior working at height activities to all site team.,Good practice,,
24991,PT Usaha Engineering Services,Competence,High,The PH and Core Team accreditation assurance process not yet been followed up - email by MHT HSSE on 11-Jul-2023.,Follow up the assurance process for all PH and/or Core Team based on MHT detailed breakdown of each competency gap. ,3,3
24992,PT. Mitra Purnama Engineering,Protruding objects,Low,Protruding object ,please cover this steel concrete with plastic or others.,1,1
24993,PT. Mitra Purnama Engineering,Communication,Low,HSSE STATISTIC NOT UP TO DATE,Need up to date regularly,3,3
25001,CIRA International,"Rules, regulations not followed",High,There is no CRR document update available at site.,"CIRA to print out the latest CRR and ensure all requirements is available at site, including the approval record. document",3,3
25001,CIRA International,"Rules, regulations not followed",High,"Based on HSSE Program Plan, Worker Welfare Audit must be conducted in Week-1 and during observed the program are still not implemented.",Organize the worker welfare audit to the worker house rent and ensure to provide the invitation to MHT and submit the record.,1,1
25001,CIRA International,"Rules, regulations not followed",Medium,BBSQ Program are still not implemented at project site.,Site Team to engage the worker and/or core team to involved BBSQ program and ensure to submit the report to the system.,3,3
25001,CIRA International,"Inspection, signage, tag",High,"Provide the specific equipment checklist (e.g., jack hammer, grinding, etc.)","Provide in detail for specific equipment inspection checklist for all equipment that will be used during the project - stamper, jack hammer, concrete cutter & water pump (refer to CRR slide 16).",3,3
25013,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,No protection or segregation between mixer machine and workers safe walkway,please provide barricade to segregate the area,1,1
25042,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,No Safe Access Worker to Redzone Area,Please prepare safe access worker using hardbarricade to separate construction area with walkpath worker,1,1
25042,PT. Mitra Purnama Engineering,Protruding objects,High,No Protection for Protuding object,Please install protection or any control to eliminate protuding/sharp hazard,1,1
25042,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Medium,"MPE did not do the confined space work, but WCF and Permit Still Open. ","If the work is not completed, the PH must re-socialize the workers and coordinate with the coreteam and the Permit must be closed.",3,3
25042,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,No Flagman During Moving Excavator,Please put the flagman for all excavator actviities such as moving and during excavation activities. ,1,1
25042,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,High,No Flagman During Moving Excavator,PH and HSSE must ensure SWC already implemented well ,3,3
25054,CIRA International,Competence,Low,PH not able to complete blue zone session as per scenario given. He was not able to clearly define difference between hazard and risk. barrier placement also not in working order ,coaching on site been provided immediately. PH shall lead the blue zone session for high risk activity and to submit activity report as part of closure action.,3,3
25105,CIRA International,PPE incomplete / inadequate,High,Not wearing appropriate safety gloves during hot works activity,Cira must ensure all workers wearing appropriate safety gloves during hot works activity,2,1
25107,PT. Mitra Purnama Engineering,Housekeeping,High,rebar placement is not regulated and there is no protection/ bluesheets,the placement is set and cover with blueshet,1,1
25109,PT. Mitra Purnama Engineering,"Excavation, ingress, egress",High,seen in the site is not installed hard barricade,MPE Please installed barricade 1.8 are properly barricaded,1,1
25111,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,Staterbar/ Rebar stek not yet cutting or barricaded,MPE Team Please barricaded rebar stek immediatly,1,1
25130,CIRA International,Slips and trips,Medium,The existeng rebar was expose to upside direction,Bend the rebar down side and covered it,1,1
25151,PT Diverse Product Engineering,PPE incomplete / inadequate,Medium,Not wearing safety glass while lamination work,Ensure to always wear the specific PPE ,3,1
25214,PT Anugerah Petro Indonesia,Housekeeping,Low,Piece of wood with nails at working area.,Immediatelly to remove the piece of wood from there,1,1
25238,PT. Mitra Purnama Engineering,Slips and trips,Medium,height level difference between slab area and ground surface,Use ladder or same function material to reduce height level between concrete slab and soil ground ,1,1
25238,PT. Mitra Purnama Engineering,Slips and trips,Medium,Sharp object from wiremesh can harm worker,Cover the shsrp object to ensure no worker get harm and get trip due to this sharp object.,1,1
25255,CIRA International,Housekeeping,Low,housekeeping,All waste removed from site,1,1
25255,CIRA International,PPE incomplete / inadequate,Low,no use face shield,One of L3  (Other CIRA) no use face shield while do the grinding,1,1
25258,PT. Mitra Purnama Engineering,Slips and trips,Medium,Access from the green zone to the red zone has the potential for slipping and tripping.,Make sure the area is level and safe for people to access.,1,1
25258,PT. Mitra Purnama Engineering,Communication,Medium,There is no information about Shell Goal Zero.,Provide the banner of Shell Goal Zero and ensure to be installed at green zone and red zone area.,3,4
25258,PT. Mitra Purnama Engineering,Communication,Medium,"There is no green zone, red zone and ERP in the table of Security.","Provide the information in the Security table's on green zone, red zone and ERP (hospital, bomba, police station - contact number and evacuation route).",3,4
25258,PT. Mitra Purnama Engineering,Competence,High,3 (three) Security does not have a Temporary Safety Passport and ensures it is complete with family contact numbers and can provide safety briefings to visitors before entering the site.,Provide the Temporary Safety Induction for all Security's and update in the register.,3,3
25258,PT. Mitra Purnama Engineering,Competence,High,"More than 4 (four) workers do not have Temporary Safety Passport, there is no information on family contact numbers and the date issued does not align the safety induction given by the HSSE team.","Provide Temporary Safety Passport complete with information on family contact numbers and the date issued does must be align the safety induction given by the HSSE team, including update in the register and Security to check in the morning prior the worker will be entering to the site.",3,3
25258,PT. Mitra Purnama Engineering,Communication,High,The HSE Admin and project Admin doesn/t have EPCM Safety Passport.,"MPE to purchase EPCM Safety Passport to MHT HSSE for 3 (three) person - Director, HSE Admin and Project Admin.",3,3
25258,PT. Mitra Purnama Engineering,Housekeeping,High,PPE and security post storage places contain items that are not suitable. The rest of the wood material is scattered in the building area and there are lots of nails. The material storage area (rebars/ near the fabrication area) does not have a proper hard barricade.,To do housekeeping and dispose of wood trash and install hard barricades for material storage.,1,1
25258,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,The fire extinguisher checklist is not updated and the fire extinguisher is dusty.,Make sure the fire extinguisher is checked every month as per requirement in Government regulation and cleaned regularly.,3,1
25258,PT. Mitra Purnama Engineering,Mechanical impact,High,There is no tagging on jack hammer.,"Ensure to inspect the jack hammer and ensure in fit condition, complete with tagging.",1,1
25258,PT. Mitra Purnama Engineering,Mechanical impact,High,Remove the mixer machine that is beside the green zone from project site.,Remove the mixer machine that is beside the green zone from project site.,1,1
25258,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,The place where the trash can is classified is not in accordance with its function and there is no record of waste disposal.,Dispose of trash in its place regularly and provide records of project waste disposal,3,1
25258,PT. Mitra Purnama Engineering,Housekeeping,High,The workers' toilet facilities are dirty and there is no special staff to clean them regularly.,MPE assigns 1 special worker to clean all facilities (including toilets and work areas) outside the MPE core team and carry out a checklist 3x/week.,3,3
25258,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,"There is an eye wash that has been damaged (in a condition where it has been broken and has been patched), as well as a mossy hose.",MPE to replace the eye wash and make sure it is in good condition.,1,1
25258,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,Frist aid kits were found at post security and first aid rooms which were incomplete and did not match the amount stated in the checklist.,"Complete all first aid items according to regulations and re-inspect, both first aid kits at the security post and first aid room.",3,3
25258,PT. Mitra Purnama Engineering,Confined / restricted space,High,Improper access to confined space areas - the slope of the ladder position is too steep and remove 1 ladder (only 2 access).,Adjust the position of the ladder with a slope of 42-45 degrees Celsius and make sure there are two accesses for in and out to the CSE area.,1,1
25258,PT. Mitra Purnama Engineering,Work at Heights,High,Found 3 (three) scaffolding bracing in crooked condition and unfit for installation.,Remove the scaffolding bracing in a bent condition from project site and ensure to check the material prior mobilization to the site.,1,1
